filename,genre,tempo,chroma_mean,chroma_var,rms_mean,rms_var,cent_mean,cent_var,rolloff_mean,rolloff_var,zcr_mean,zcr_var,bw_mean,bw_var,mfcc_1_mean,mfcc_1_var,mfcc_2_mean,mfcc_2_var,mfcc_3_mean,mfcc_3_var,mfcc_4_mean,mfcc_4_var,mfcc_5_mean,mfcc_5_var,mfcc_6_mean,mfcc_6_var,mfcc_7_mean,mfcc_7_var,mfcc_8_mean,mfcc_8_var,mfcc_9_mean,mfcc_9_var,mfcc_10_mean,mfcc_10_var,mfcc_11_mean,mfcc_11_var,mfcc_12_mean,mfcc_12_var,mfcc_13_mean,mfcc_13_var,mfcc_14_mean,mfcc_14_var,mfcc_15_mean,mfcc_15_var,mfcc_16_mean,mfcc_16_var,mfcc_17_mean,mfcc_17_var,mfcc_18_mean,mfcc_18_var,mfcc_19_mean,mfcc_19_var,mfcc_20_mean,mfcc_20_var
Albert King - Born Under A Bad Sign.mp3,blues,[92.28515625],0.3385619,0.085208304,0.14715596,0.0019633803,1969.539161732312,212638.62387968678,3963.2677013290927,1087510.6253348538,0.09627266048277863,0.0014044639167653191,2135.345114021794,100611.21046785735,-75.04196,3132.23,112.08579,546.60846,-16.314497,230.93123,30.096327,195.28944,-1.940087,120.42101,3.6656864,94.17773,-5.399014,55.09127,0.039569017,75.436325,-2.7251189,43.808983,-0.27753228,60.77882,-3.3339322,57.221558,1.925346,52.937675,-6.896588,32.980156,1.2152008,40.497734,-3.647085,32.7366,-1.5697784,28.541645,-4.4554963,38.00813,1.3621228,38.92908,-3.6558623,28.44218,-2.7969291,42.3123
aug_noise_Albert King - Born Under A Bad Sign.mp3.wav,blues,[92.28515625],0.33924696,0.08536527,0.14770968,0.0026044226,2214.989082823766,481722.5366397478,4348.723703862713,1627434.2312517557,0.12166933230940402,0.0047521358117445355,2206.479275574225,109842.76551327176,-71.90759,5342.951,100.28756,852.26337,-17.584068,280.81232,31.712503,219.5469,-2.3993216,171.6281,5.912099,114.89331,-4.446567,63.09294,-1.8238419,77.691666,-4.5182343,49.755154,-0.71196765,53.37071,-5.1265697,57.4945,0.93502223,41.905674,-5.1010995,35.570393,2.020805,30.822882,-4.168639,33.85858,-1.0660845,33.247063,-1.6886536,31.58185,1.2744178,39.71558,-2.5926678,29.07303,-3.0205607,38.31627
aug_noise_B.B. King - The Thrill Is Gone ( 1969 ) HD.mp3.wav,blues,[89.10290948],0.35067412,0.10148028,0.1758861,0.0060177064,1677.219084297478,1216682.7785767464,3151.3726107476296,4014265.604298387,0.09167669432082043,0.013130991770876111,2111.317778808363,167534.998390497,-155.12416,5951.1025,116.31482,1410.5118,8.977679,629.73566,30.561115,290.12317,20.998466,236.33322,13.299723,102.64866,9.9141445,107.91844,4.7850146,66.7771,-0.57642764,72.40674,-2.6916382,55.609688,0.05882041,112.27174,1.823235,118.35855,-4.5585938,64.61899,-4.868367,45.456215,-2.2393768,61.044613,-5.381879,49.01544,-5.3625984,38.330067,-1.8800852,54.27201,-4.2949476,40.420307,-3.5468214,96.071815
aug_noise_Blues Delight - If I Had Money.mp3.wav,blues,[143.5546875],0.30381146,0.09926019,0.10543367,0.0051312647,1352.2390122428244,744276.6067920134,2756.6749974300988,3691203.575222872,0.05672414679276316,0.0037700453035913422,1696.9652534466218,441693.46192397387,-237.23376,12266.86,127.21112,1333.8317,6.8742485,1779.0731,35.047874,208.78688,6.5857387,380.71255,2.4462135,231.17453,-2.4147227,90.36006,-0.83364385,167.70314,1.0836176,104.69292,-7.331202,189.42645,-4.785621,103.43186,4.1827393,83.77006,-4.172151,62.571735,-5.8477316,73.58863,-3.4526207,57.2604,-0.13123466,49.711906,-8.928734,57.074135,-3.609047,78.827995,1.1146479,70.36671,0.673836,95.418076
aug_noise_Chris Stapleton - Tennessee Whiskey (Official Audio).mp3.wav,blues,[151.99908088],0.35704944,0.1062199,0.087648496,0.0015371391,2075.6623615021326,558719.6375074362,4911.4119680304275,2694787.022870672,0.05839080338138545,0.004053491520840976,2685.0871622999416,144667.335645995,-204.40083,5278.902,89.352394,655.13477,19.730284,597.86707,24.858898,163.2207,15.279415,183.2651,16.202122,114.17371,5.686042,114.606255,6.031533,55.5078,2.1837533,56.266506,6.867407,58.17981,4.4058886,57.37287,5.072278,55.148476,2.182187,39.317383,-0.31756616,30.730902,-3.1352131,44.795395,-4.20642,43.272114,-3.966784,33.754147,-0.8743394,53.705585,-1.2607338,48.47574,-1.5203668,38.564972
aug_noise_Going Down - Freddie King.mp3.wav,blues,[83.35433468],0.2927006,0.09659064,0.15176688,0.0014286361,2611.559511287297,540697.9736679215,5558.341389470056,1687989.8932809343,0.12253138303018576,0.0057282842695927285,2576.713592684993,89439.52898773432,-76.728455,5471.706,74.42144,624.3704,-2.7695208,182.76558,30.966803,127.17398,8.39265,101.88643,16.77185,59.529522,-2.9172432,52.454292,7.4072704,41.090855,-2.3492682,44.50812,4.3132896,32.25176,-3.630531,31.220787,3.4706018,31.358723,-2.1896794,49.22144,1.4041079,37.59793,-4.828618,40.752354,-1.8970284,35.15171,-5.8370953,50.117516,-3.7321398,42.90872,-5.082004,41.66143,-3.2140172,54.211506
aug_noise_Jack Mercer - Prison Blues  Whiskey Blues Guitar  Chicago Soul Blues  Slow Blues Ballad.mp3.wav,blues,[123.046875],0.2894245,0.10626627,0.07705777,0.0026984627,1382.261241097882,1165136.4835724533,2650.167308134191,5557789.304580325,0.05522188830301858,0.006956478848153991,1777.8580150966325,425475.141501802,-313.96,11423.1875,106.75922,1685.4686,12.895107,1669.738,31.078915,370.20752,7.534798,372.82266,3.7323923,350.0844,-0.6366273,310.40436,-1.2624414,212.80212,1.1140586,123.78383,-3.1705205,168.35051,-7.006634,130.6797,-0.35901067,196.67168,0.26406512,181.56425,-0.51197684,129.90494,1.0706111,128.4434,5.341284,147.97276,1.931175,80.57235,-1.964144,114.92903,-2.2331996,144.99274,-4.991252,77.22488
aug_noise_Muddy Waters - Mannish Boy (Audio).mp3.wav,blues,[143.5546875],0.28415918,0.11484462,0.051225442,0.0020944383,3273.4116014445003,1433636.9867281704,6252.0038616546535,5007547.041788146,0.18352458942047215,0.015915562693128157,2695.6685637997584,308388.4661474482,-258.48602,6692.302,42.62633,754.26807,-20.19165,958.9949,8.989907,267.9515,-4.8010316,356.5607,-4.0143657,138.70229,-1.915283,178.57358,-3.2545948,142.45604,-6.374926,110.19264,-5.114592,94.471436,-3.9183912,118.411804,-2.874637,105.428406,-3.4829767,64.467476,-5.3196883,61.412888,-0.16222914,75.31764,2.39436,124.36506,3.3651493,103.904434,-0.4644493,95.08937,-2.765246,75.69114,-2.3485022,103.19285
aug_noise_Otis Rush - All Your Love (I Miss Loving).mp3.wav,blues,[123.046875],0.30882567,0.088347964,0.2149773,0.0020907854,2066.7258207044297,339636.2541994396,3977.825946630708,848112.99617803,0.10971324436435759,0.0032457871724226725,2002.626184832181,48470.961603811134,-41.16554,2743.2278,102.51381,795.89954,-27.486137,303.90234,48.76568,205.69495,-1.7966715,209.6787,-0.17853123,115.95454,-3.4067028,71.13475,-3.4146922,81.79962,-3.2352874,52.2723,-0.08945576,72.55898,-5.343831,76.63994,2.6017518,71.82913,-3.5674644,65.248825,-2.648019,62.513943,-2.636874,59.743282,-5.250482,42.89649,-7.0092635,55.064194,-4.305757,54.417522,-2.5102038,45.72074,1.2239327,65.05313
aug_pitch_Albert King - Born Under A Bad Sign.mp3.wav,blues,[92.28515625],0.31845966,0.08607789,0.102204315,0.0012700431,2308.8385253925303,385024.8149212148,4601.3555095660795,1423170.3315709368,0.12794329285990713,0.002736047878520781,2250.7823648261065,159443.09913790628,-106.62622,7008.9033,90.560684,756.13257,-15.805695,262.32144,31.697628,255.63383,-6.647841,153.6884,5.9818497,91.69684,-7.260313,83.80258,-0.44210833,78.78597,-4.840858,57.458767,-1.516804,50.57617,-4.59691,58.761707,0.052403547,60.82172,-4.4980583,39.55105,1.4217274,33.32723,-6.2700295,41.723007,2.1296005,39.41254,-4.221008,48.07243,-1.8473594,40.68237,-9.082923,53.080296,-4.1199403,59.695324
